"sha256","files","bytes","loc","total_duplicate_bytes","total_duplicate_loc","paths","root_docs_mirror"
"a179545cd7bf01ede1c92e305f2993503880159f01d08be1a4233f56525ceac1","2","27236","458","27236","458","ARCHITECTURE_INTENT.md | docs/library/ARCHITECTURE_INTENT.md","True"
"9a39200e5daf9b84eb44c9d54df2fb0922f2f21ea1b1acea6fe20e5824cc9b19","2","1189","31","1189","31","COUNCIL-DECISIONS.md | docs/COUNCIL-DECISIONS.md","True"
"27a55379b341a3d477105723a79b09c5075ee11f5bb3b730ccf9090d55e93de0","2","533","19","533","19","docs/library/DRACO.md | DRACO.md","True"
"981ee9613cca3ed8542e8c43c60edf924f2d27a30add666a62185349626db53b","2","346","15","346","15","docs/library/ECHO.md | ECHO.md","True"
"337794dcaecca31f326fe37c6bd1d7249271a7ff83d0422608870dcc0ff1b3e3","2","4604","120","4604","120","docs/EXTERNAL-AI-PROTOCOL.md | EXTERNAL-AI-PROTOCOL.md","True"
"33c9a97c52f19460e4f9217a03709e09bbd382582290fbf2958629993b02938f","2","5240","138","5240","138","docs/library/GARDEN_LANGUAGE.md | GARDEN_LANGUAGE.md","True"
"773cd6c19e2dc53b19cf663ecc0cfb5b53526fdf24aead0a6bea5f6d1c309ad0","2","11526","175","11526","175","docs/library/LEORA.md | LEORA.md","True"
"7369a7305c7087266772f0a349891cece6a2e4c3b0867f63f186b580a68b889d","2","344","15","344","15","docs/library/LYRA.md | LYRA.md","True"
"dd9a7371faf47d732a7959be36fdce35f8975a136fc75653a0e6c00954dbf0cb","2","9519","242","9519","242","docs/library/QUICK-START.md | QUICK-START.md","True"
"64436e57ebbc68c528500a25b433d90ff7bd8427445931df96d80cc4dae50c52","2","3849","123","3849","123","docs/TELEGRAM-SETUP.md | TELEGRAM-SETUP.md","True"
"3163bdd6da5fe5a9c8fbe50c634518c1547b0bb164847339060d101f0971cde3","2","2779808","65387","2779808","65387","docs/app.html | index.html","True"
"d022bb81df876d7f179c9a3d307ef0623b8df43edf0e5a70c6f1383f09a79d96","2","1652",,"1652",,"docs/icon-192.png | icon-192.png","True"
"6b82127cf5f8571ec757ffae2df4c538e348e72b58054866a3d642ce922af6c1","2","4713",,"4713",,"docs/icon-512.png | icon-512.png","True"
"8cf05bda35383ea2502decc388d91a4adcf6ab3d9fa1d35a600fee4e49ec796b","2","653","47","653","47","docs/lib/CopyShader.js | lib/CopyShader.js","False"
"72dcd55f4626f1533a9f98dd03021a5de415ffc15f1ad688ef84997612b04de0","2","6555","284","6555","284","docs/lib/EffectComposer.js | lib/EffectComposer.js","False"
"1b6eaa1f4f1c6d240001cd310e604551274968c7aaa55f7cc9c6c1a8aae45526","2","1299","71","1299","71","docs/lib/LuminosityHighPassShader.js | lib/LuminosityHighPassShader.js","False"
"5742860df2533c1c5ed580f939228f2a0d88b14967bb167dc9954ceedb1616e8","2","27420","1045","27420","1045","docs/lib/OrbitControls.js | lib/OrbitControls.js","False"
"3a08e1adbe3a5d915d75323ecc9d6b836057ae06afd3d39704dea180795823cd","2","1820","74","1820","74","docs/lib/RenderPass.js | lib/RenderPass.js","False"
"9ed292e0b177cab987d00000070a779202a7c86b6d738ee24f3864ccfa0c79ed","2","1479","63","1479","63","docs/lib/ShaderPass.js | lib/ShaderPass.js","False"
"0030802645409fc2c35ad87d4f794619b379a1a208edf6a1a9c5d0002f9831f7","2","12978","366","12978","366","docs/lib/UnrealBloomPass.js | lib/UnrealBloomPass.js","False"
"7ae04663bb431808bc025280122162029ea3a354efc5fcca8bd8f95d1a1933e9","2","603451","6","603451","6","docs/lib/three.min.js | lib/three.min.js","False"
"01a650f1472180baabd5352bd021a763fe06c6a54230a803bec5710de8748e9a","2","14767","346","14767","346","docs/library/chronal_clock_sensitivity_v2.py | docs/simulation/chronal_clock_sensitivity_v2.py","False"
"833094e4d8022cc4e771fa1eb901aeea35fe9a48fbb1c2c222f312384d7cbff8","2","42240","1011","42240","1011","docs/library/chronal_simulation_v3.py | docs/simulation/chronal_simulation_v3.py","False"
"56c6e897270544036996dc89975aad45fdd5e68d8a1ae1dc83805334413cacae","2","29651","635","29651","635","docs/modules/aurora-equation.js | modules/aurora-equation.js","False"
"10046c7738a05f71810a62fe1bc2f62cb5040487229fbedf0dc8bd8c34fcf157","2","188990","4368","188990","4368","docs/modules/fractal-garden.js | modules/fractal-garden.js","False"
"0c68253fa31e19696f0494aa23f49c0d274aac22c52c3b7ba065a28bff105699","2","49191","1331","49191","1331","docs/modules/garden-dreaming.js | modules/garden-dreaming.js","False"
"1f3f4d1ad20222fff929c1a76cadf6caca87318abe52703a28b578863881b0bd","2","43312","1228","43312","1228","docs/modules/radio-immersive.js | modules/radio-immersive.js","False"
"191feed44f4e5d740e0bdd2d687b186517857aca8c5ba4a58c327e441da12ffd","2","17661","451","17661","451","docs/modules/shared-presence.js | modules/shared-presence.js","False"
"1d4ed722a0a5be1e92eb5106bd816c2f54ce3cc362dbf5cff067ce2862aa3dc5","2","11688","366","11688","366","docs/telegram-worker.js | telegram-worker.js","True"
