"language","files","bytes","loc"
"HTML","87","9821835","226472"
"JavaScript","132","10578070","84126"
"Markdown","145","2519824","40440"
"Python","13","212918","5224"
"Other:.lock","1","129600","5045"
"Shell","8","43633","1117"
"Text","11","33839","835"
"Batch","2","23086","632"
"Other:.command","1","20592","501"
"JSON","13","13465","334"
"Other:.xml","1","6848","238"
"Other:.rs","2","6863","186"
"Other:.backup","1","6118","131"
"Extensionless","3","4645","129"
"YAML","1","3868","107"
"SVG","2","4597","99"
"TOML","3","808","32"
"Other:.example","1","750","21"
"Other:.gitignore","2","305","15"
"Other:.gitkeep","1","2","1"
"Other:.nojekyll","1","0","0"
"Other:.jpg","10","2541285",
"Other:.midi","3","7894",
"Other:.mp3","1","2881454",
"Other:.pdf","23","4962225",
"Other:.png","46","109830717",
