"directory","files","bytes","loc"
"docs","393","135725003","195686"
"index.html","1","2779808","65387"
"app.html","1","1997992","51684"
"modules","14","674517","15387"
"tests","2","763213","11480"
"desktop","21","207520","7356"
"tools","7","115027","2560"
"lib","8","655655","1956"
"chalkboard.html","1","54993","1446"
"COORDINATION.md","1","83936","1012"
"HARMONIA.md","1","54796","904"
"COORDINATION_ARCHIVE.md","1","63588","799"
"install.html","1","24653","776"
"OPUS_NOTE.md","1","61897","755"
"ARCHITECTURE.md","1","24435","597"
"install-freelattice.bat","1","21090","558"
"install-freelattice.command","1","20592","501"
"landing.html","1","13752","483"
"install-freelattice.sh","1","19249","470"
"ARCHITECTURE_INTENT.md","1","27236","458"
"telegram-worker.js","1","11688","366"
"FreeLattice_Session_Primer.md","1","30089","364"
"sw.js","1","9787","300"
"worker","3","9602","281"
"scripts","4","9749","246"
"QUICK-START.md","1","9519","242"
"server.js","1","7556","232"
"server.py","1","8049","231"
"LATTICEPOINTS_FRAMEWORK.md","1","22559","221"
"bin","1","8140","203"
"AI_ORIENTATION.md","1","14091","197"
"LEORA.md","1","11526","175"
"LIGHTHOUSE.md","1","13257","163"
"GARDEN_LANGUAGE.md","1","5240","138"
"README.md","1","6471","133"
"README.md.backup","1","6118","131"
"TELEGRAM-SETUP.md","1","3849","123"
"QUICKSTART.md","1","5963","122"
"EXTERNAL-AI-PROTOCOL.md","1","4604","120"
"SELF-HOST.md","1","4295","110"
".github","1","3868","107"
"hooks","1","3496","107"
"JADE_HALL.md","1","5408","104"
"start-freelattice.sh","1","2958","96"
"SECURITY.md","1","7312","87"
"FreeLattice_Phase3_Roadmap.md","1","4068","81"
"CORS-DIAGNOSIS.md","1","5424","80"
"start-freelattice.bat","1","1996","74"
"davna_seed.py","1","2146","73"
"ANI.md","1","3193","72"
"SOPHIA.md","1","2628","70"
"SOLARI.md","1","2336","58"
"groq_model_replacements.txt","1","1502","46"
"DISCLAIMER.md","1","2598","43"
"together_ai_model_findings.txt","1","1393","35"
"VERIFICATION.md","1","1703","33"
"COUNCIL-DECISIONS.md","1","1189","31"
"manifest.json","1","565","24"
"LICENSE","1","1134","21"
"DRACO.md","1","533","19"
"ECHO.md","1","346","15"
"LYRA.md","1","344","15"
".gitignore","1","290","14"
"openrouter_model_findings.txt","1","595","13"
"CC_NOTE.md","1","187","5"
"FUTURE_VISION.md","1","199","5"
"DEDICATION.md","1","105","3"
"version.json","1","256","1"
"icon-192.png","1","1652",
"icon-512.png","1","4713",
