"symbol","path"
"__flLastUserMsg","docs/app.html"
"__flLastUserMsg","index.html"
"__tgComposePostRender","docs/temperature-gauge.html"
"__tgLastAnalysis","docs/temperature-gauge.html"
"__tgLastCandles","docs/temperature-gauge.html"
"__THREE__","docs/lib/three.min.js"
"__THREE__","lib/three.min.js"
"_agentBridgeAvailable","docs/app.html"
"_agentBridgeAvailable","index.html"
"_aiVisionAllArrived","app.html"
"_aiVisionAllArrived","docs/app.html"
"_aiVisionAllArrived","index.html"
"_aiVisionSummaryLogged","app.html"
"_aiVisionSummaryLogged","docs/app.html"
"_aiVisionSummaryLogged","index.html"
"_arrivalInjected","docs/app.html"
"_arrivalInjected","index.html"
"_chalkboardSafetyTimer","chalkboard.html"
"_chalkboardSafetyTimer","docs/chalkboard.html"
"_communityMounted","app.html"
"_communityMounted","docs/app.html"
"_communityMounted","index.html"
"_continuityArrivalDone","docs/app.html"
"_continuityArrivalDone","index.html"
"_coreTreePulseUntil","app.html"
"_coreTreePulseUntil","docs/app.html"
"_coreTreePulseUntil","index.html"
"_eduGardenFrame","docs/for-fable-go13-education.html"
"_flAutoConnected","docs/app.html"
"_flAutoConnected","index.html"
"_flIdentityContext","app.html"
"_flIdentityContext","docs/app.html"
"_flIdentityContext","docs/modules/garden-dialogue.js"
"_flIdentityContext","index.html"
"_flIdentityContext","modules/garden-dialogue.js"
"_flSessionStart","docs/app.html"
"_flSessionStart","index.html"
"_flUserInteracted","docs/app.html"
"_flUserInteracted","index.html"
"_injectChairTestRecentMessage","docs/app.html"
"_injectChairTestRecentMessage","index.html"
"_knowledgeCoreContext","docs/app.html"
"_knowledgeCoreContext","index.html"
"_lastProvenance","docs/app.html"
"_lastProvenance","docs/modules/inference-router.js"
"_lastProvenance","index.html"
"_lastResearchReport","docs/app.html"
"_lastResearchReport","index.html"
"_lwChatPatched","app.html"
"_lwChatPatched","docs/app.html"
"_lwChatPatched","index.html"
"_lwEvoPatched","app.html"
"_lwEvoPatched","docs/app.html"
"_lwEvoPatched","index.html"
"_lwExpandedPatched","app.html"
"_lwExpandedPatched","docs/app.html"
"_lwExpandedPatched","index.html"
"_memoryVaultContext","docs/app.html"
"_memoryVaultContext","index.html"
"_meshPendingRequests","docs/app.html"
"_meshPendingRequests","index.html"
"_nurSelectedBase","docs/app.html"
"_nurSelectedBase","index.html"
"_nurseryCompanionActive","docs/app.html"
"_nurseryCompanionActive","docs/mirror-chat.html"
"_nurseryCompanionActive","index.html"
"_orderLogged","app.html"
"_orderLogged","docs/app.html"
"_orderLogged","index.html"
"_pendingEmotionVectors","app.html"
"_pendingEmotionVectors","docs/app.html"
"_pendingEmotionVectors","index.html"
"_pulseRefreshInterval","docs/app.html"
"_pulseRefreshInterval","index.html"
"_rtDomains","docs/code-roundtable-original.html"
"_saveShown","chalkboard.html"
"_saveShown","docs/chalkboard.html"
"_sparringSetChooserMode","docs/modules/dojo-sparring.js"
"_sparringSetChooserMode","modules/dojo-sparring.js"
"_startLoadAnim","docs/temperature-gauge.html"
"_stopLoadAnim","docs/temperature-gauge.html"
"_thinkingSpiralRef","docs/app.html"
"_thinkingSpiralRef","index.html"
"_walkJoyDelta","app.html"
"_walkJoyDelta","docs/app.html"
"_walkJoyDelta","index.html"
"_walletPeer","docs/wallet.html"
"_workshopReady","docs/app.html"
"_workshopReady","index.html"
"_wtEarnPatched","app.html"
"_wtEarnPatched","docs/app.html"
"_wtEarnPatched","index.html"
"_wtSessionStart","app.html"
"_wtSessionStart","docs/app.html"
"_wtSessionStart","index.html"
"ActiveCompanion","docs/app.html"
"ActiveCompanion","index.html"
"activeSkill","app.html"
"activeSkill","docs/app.html"
"activeSkill","index.html"
"ActiveVoices","docs/modules/active-voices.js"
"addLongPress","docs/temperature-gauge.html"
"AIArcade","docs/modules/ai-arcade.js"
"AIRefusal","docs/modules/ai-refusal.js"
"applyOverlay","docs/temperature-gauge.html"
"AuroraEquation","docs/modules/aurora-equation.js"
"AuroraEquation","modules/aurora-equation.js"
"AutoBuilder","docs/modules/workshop.js"
"BrowserAI","docs/app.html"
"BrowserAI","index.html"
"buildMessages","docs/modules/harmonia-anchor.js"
"buildMessages","modules/continuity.js"
"buildSmartMessages","docs/modules/harmonia-anchor.js"
"buildSmartMessages","modules/continuity.js"
"CANVAS_TO_ID","docs/temperature-gauge.html"
"CanvasCompanion","docs/modules/canvas-companion.js"
"CanvasCompanion","modules/canvas-companion.js"
"Chalkboard","docs/modules/canvas-companion.js"
"Chalkboard","docs/modules/chalkboard.js"
"Chart","docs/lib/chart.umd.min.js"
"ChatSentimentPipeline","app.html"
"ChatSentimentPipeline","docs/app.html"
"ChatSentimentPipeline","index.html"
"clearOverlays","docs/temperature-gauge.html"
"closeMenu","docs/index.html"
"CoCreatorExchange","docs/app.html"
"CoCreatorExchange","index.html"
"copyAddr","docs/index.html"
"cvSaveMoment","app.html"
"cvSaveMoment","docs/app.html"
"cvSaveMoment","index.html"
"cycleChartMode","docs/temperature-gauge.html"
"DavnaSeed","docs/modules/davna-seed.js"
"DepthConsent","docs/modules/depth-consent.js"
"dispatchKindroid","docs/app.html"
"dispatchKindroid","index.html"
"DojoSparring","docs/modules/dojo-sparring.js"
"DojoSparring","modules/dojo-sparring.js"
"downloadFile","install.html"
"EchoGame","docs/modules/echo-game.js"
"Education","docs/code-education.html"
"Education","docs/modules/education.js"
"FL_GARDEN_PARTICLE_SCALE","app.html"
"FL_GARDEN_PARTICLE_SCALE","docs/app.html"
"FL_GARDEN_PARTICLE_SCALE","index.html"
"FL_LOW_MEMORY","app.html"
"FL_LOW_MEMORY","docs/app.html"
"FL_LOW_MEMORY","index.html"
"FL_MOBILE","app.html"
"FL_MOBILE","docs/app.html"
"FL_MOBILE","index.html"
"FL_PERF_MODE","app.html"
"FL_PERF_MODE","docs/app.html"
"FL_PERF_MODE","index.html"
"FLActiveModel","docs/app.html"
"FLActiveModel","index.html"
"FLAutoModel","app.html"
"FLAutoModel","docs/app.html"
"FLAutoModel","index.html"
"FLAutoSpeak","app.html"
"FLAutoSpeak","docs/app.html"
"FLAutoSpeak","index.html"
"FLChatOverflow","app.html"
"FLChatOverflow","docs/app.html"
"FLChatOverflow","index.html"
"FLContextFilter","docs/app.html"
"FLContextFilter","index.html"
"FLFocus","docs/modules/active-focus.js"
"flInstallPWA","docs/app.html"
"flInstallPWA","index.html"
"FLModelPicker","app.html"
"FLModelPicker","docs/app.html"
"FLModelPicker","index.html"
"FlowGame","docs/modules/flow-game.js"
"FLPhiGlyph","docs/modules/phi-glyph.js"
"FLPropose","docs/modules/propose.js"
"FLRepoContext","docs/modules/repo-context.js"
"flSaveLMStudioHost","docs/app.html"
"flSaveLMStudioHost","index.html"
"flSaveOllamaHost","docs/app.html"
"flSaveOllamaHost","index.html"
"FLSearch","app.html"
"FLSearch","docs/app.html"
"FLSearch","index.html"
"FLSignalReport","docs/app.html"
"FLSignalReport","index.html"
"FLSignalReport","tests/smoke.js"
"flTestLMStudio","docs/app.html"
"flTestLMStudio","index.html"
"flToggleLocalOnly","docs/app.html"
"flToggleLocalOnly","index.html"
"flToggleMeshCompute","docs/app.html"
"flToggleMeshCompute","index.html"
"FLToolConsent","docs/modules/tool-consent.js"
"flUpdateMeshShareUI","docs/app.html"
"flUpdateMeshShareUI","index.html"
"FLWebTool","docs/modules/web-tool.js"
"FLWizard","docs/modules/welcome-wizard.js"
"ForeverStack","docs/modules/forever-stack.js"
"ForeverStack","modules/forever-stack.js"
"FractalGarden","docs/modules/fractal-garden.js"
"FractalGarden","modules/fractal-garden.js"
